,Unnamed: 0,Unnamed: 0.1,Effort Code,num1,num2,num3,num4,num5,Correct,Wrong_1,Wrong_2,Difference_1,Difference_2,Unnamed: 12,Unnamed: 13
97,35,Cue3LevelEffort,3,7, + 5, + 9, + 1, - 6,16,15,14,-1,-2,,
98,63,Cue3LevelEffort,3,7, - 1, + 8, - 6, + 4,12,11,13,-1,1,,
99,31,Cue3LevelEffort,3,3, + 1, + 8, - 5, + 9,16,15,17,-1,1,,
100,74,Cue3LevelEffort,3,3, + 8, - 7, - 1, + 9,12,14,13,2,1,,
101,40,Cue3LevelEffort,3,4, + 5, - 3, + 7, - 1,12,13,11,1,-1,,
102,56,Cue3LevelEffort,3,8, - 1, + 6, - 7, + 5,11,12,13,1,2,,
103,37,Cue3LevelEffort,3,9, + 5, + 1, - 6, + 7,16,18,15,2,-1,,
104,38,Cue3LevelEffort,3,2, + 3, + 9, - 4, + 1,11,9,12,-2,1,,
105,51,Cue3LevelEffort,3,3, + 1, + 8, - 5, + 6,13,14,15,1,2,,
106,71,Cue3LevelEffort,3,6, - 1, + 7, - 8, + 9,13,11,12,-2,-1,,
107,67,Cue3LevelEffort,3,3, + 9, - 5, - 1, + 8,14,12,15,-2,1,,
108,59,Cue4LevelEffort,4,8, + 4, + 7, - 5, - 6,8,9,6,1,-2,,
109,45,Cue4LevelEffort,4,2, + 6, - 3, + 9, + 8,22,21,23,-1,1,,
110,93,Cue4LevelEffort,4,4, + 9, - 7, + 8, + 5,19,21,20,2,1,,
111,95,Cue4LevelEffort,4,4, + 7, + 9, - 5, + 7,22,23,24,1,2,,
112,51,Cue4LevelEffort,4,8, + 5, - 4, + 7, + 9,25,26,24,1,-1,,
113,83,Cue4LevelEffort,4,2, + 9, - 6, + 8, - 4,9,7,11,-2,2,,
114,90,Cue4LevelEffort,4,9, + 4, - 6, + 8, + 7,22,24,21,2,-1,,
115,98,Cue4LevelEffort,4,7, + 8, - 4, + 6, - 5,12,11,13,-1,1,,
116,50,Cue4LevelEffort,4,7, + 6, - 9, + 8, - 3,9,8,7,-1,-2,,
117,92,Cue4LevelEffort,4,3, + 9, - 5, + 6, + 8,21,22,23,1,2,,
118,52,Cue4LevelEffort,4,9, + 7, - 5, + 8, + 6,25,27,24,2,-1,,
119,55,Cue4LevelEffort,4,4, + 7, + 8, - 3, + 9,25,26,24,1,-1,,
120,75,Cue4LevelEffort,4,2, + 9, - 3, + 5, + 8,21,23,22,2,1,,
121,52,Cue4LevelEffort,4,9, + 8, - 5, - 7, + 6,11,13,10,2,-1,,
122,47,Cue4LevelEffort,4,4, + 7, - 8, + 9, - 4,8,9,7,1,-1,,
123,89,Cue4LevelEffort,4,8, + 4, - 5, + 7, - 6,8,7,6,-1,-2,,
124,94,Cue4LevelEffort,4,5, + 8, - 6, + 7, + 4,18,17,19,-1,1,,
125,77,Cue4LevelEffort,4,4, + 7, - 8, + 9, - 3,9,8,11,-1,2,,
126,49,Cue4LevelEffort,4,6, + 9, - 7, + 8, - 5,11,13,12,2,1,,
127,48,Cue4LevelEffort,4,5, + 7, - 4, + 8, + 6,22,24,23,2,1,,
128,54,Cue4LevelEffort,4,3, + 9, - 5, + 8, - 7,8,7,9,-1,1,,
129,86,Cue4LevelEffort,4,5, + 7, - 4, + 6, + 9,23,25,24,2,1,,
130,46,Cue4LevelEffort,4,3, + 8, - 4, + 9, + 7,23,22,24,-1,1,,
131,48,Cue4LevelEffort,4,5, + 9, - 4, + 7, + 6,23,25,24,2,1,,
132,56,Cue4LevelEffort,4,5, + 7, - 4, - 6, + 9,11,13,12,2,1,,
133,45,Cue4LevelEffort,4,2, + 5, - 3, + 9, + 8,21,19,22,-2,1,,
134,49,Cue4LevelEffort,4,6, + 8, - 7, + 9, - 5,11,13,12,2,1,,
135,97,Cue4LevelEffort,4,6, + 9, + 7, - 3, - 5,14,15,13,1,-1,,
136,82,Cue4LevelEffort,4,9, + 3, - 5, + 8, + 6,21,23,19,2,-2,,
137,85,Cue4LevelEffort,4,4, + 8, + 9, - 3, + 7,25,26,24,1,-1,,
138,56,Cue4LevelEffort,4,5, + 7, - 4, - 6, + 9,11,13,12,2,1,,
139,88,Cue4LevelEffort,4,7, + 6, + 8, - 4, + 5,22,21,23,-1,1,,
140,84,Cue4LevelEffort,4,3, + 8, - 7, + 9, - 5,8,7,9,-1,1,,
141,58,Cue4LevelEffort,4,7, + 8, - 4, + 6, + 5,22,21,23,-1,1,,
142,59,Cue4LevelEffort,4,8, + 4, + 7, - 5, - 6,8,9,6,1,-2,,
143,51,Cue4LevelEffort,4,8, + 7, - 4, + 5, + 9,25,26,24,1,-1,,
